Month,Passagers_catastrophe
1949-01,80
1949-02,86
1949-03,100
1949-04,97
1949-05,89
1949-06,103
1949-07,116
1949-08,116
1949-09,104
1949-10,87
1949-11,72
1949-12,86
1950-01,83
1950-02,94
1950-03,109
1950-04,103
1950-05,93
1950-06,117
1950-07,138
1950-08,138
1950-09,126
1950-10,101
1950-11,82
1950-12,108
1951-01,113
1951-02,118
1951-03,146
1951-04,131
1951-05,140
1951-06,146
1951-07,167
1951-08,167
1951-09,152
1951-10,130
1951-11,114
1951-12,134
1952-01,139
1952-02,148
1952-03,161
1952-04,149
1952-05,151
1952-06,186
1952-07,198
1952-08,210
1952-09,177
1952-10,159
1952-11,140
1952-12,162
1953-01,164
1953-02,164
1953-03,204
1953-04,203
1953-05,197
1953-06,211
1953-07,232
1953-08,240
1953-09,205
1953-10,179
1953-11,148
1953-12,169
1954-01,172
1954-02,156
1954-03,203
1954-04,195
1954-05,202
1954-06,232
1954-07,270
1954-08,261
1954-09,227
1954-10,197
1954-11,171
1954-12,197
1955-01,210
1955-02,201
1955-03,235
1955-04,237
1955-05,238
1955-06,283
1955-07,332
1955-08,315
1955-09,280
1955-10,242
1955-11,205
1955-12,246
1956-01,252
1956-02,245
1956-03,285
1956-04,281
1956-05,286
1956-06,342
1956-07,381
1956-08,373
1956-09,323
1956-10,274
1956-11,239
1956-12,274
1957-01,283
1957-02,269
1957-03,324
1957-04,316
1957-05,323
1957-06,390
1957-07,433
1957-08,435
1957-09,372
1957-10,315
1957-11,273
1957-12,304
1958-01,308
1958-02,286
1958-03,330
1958-04,316
1958-05,331
1958-06,403
1958-07,459
1958-08,473
1958-09,372
1958-10,327
1958-11,278
1958-12,305
1959-01,328
1959-02,310
1959-03,374
1959-04,364
1959-05,388
1959-06,440
1959-07,516
1959-08,527
1959-09,431
1959-10,375
1959-11,330
1959-12,373
1960-01,385
1960-02,359
1960-03,387
1960-04,429
1960-05,440
1960-06,503
1960-07,590
1960-08,574
1960-09,476
1960-10,429
1960-11,358
1960-12,400
